id,case_id,tag_id
31089,642,2
35038,954,10
35039,954,3
35040,954,39
31090,642,59
30231,325,18
30232,325,55
30233,325,56
30234,325,30
5537,810,2
5538,810,3
5557,274,3
5577,104,2
29461,144,56
29463,144,18
29464,144,27
29614,89,2
29615,89,3
29617,89,38
29618,89,45
30305,272,56
30307,272,10
30308,272,18
30373,805,38
30412,273,35
31091,642,46
31241,673,23
31242,673,55
31388,1017,24
31390,1017,2
31447,1018,32
31449,1018,4
31450,1018,46
31495,996,64
31497,996,19
31498,996,43
31551,688,35
31552,688,8
31553,688,13
3285,379,2
30795,575,28
30796,575,45
30797,575,55
30911,597,40
31695,713,32
34409,491,2
30913,597,18
32677,911,2
34410,491,55
31697,713,2
31698,713,65
29065,195,20
29066,195,13
31699,713,55
29067,195,55
32678,911,9
30914,597,19
32679,911,65
32680,911,55
32785,910,2
32786,910,4
32788,910,24
32789,910,28
32875,1140,56
32876,1140,18
29228,1121,32
14781,472,18
34411,491,65
34508,150,4
29229,1121,3
21403,754,2
34509,150,2
3941,138,2
14782,472,20
14783,472,42
21404,754,19
21405,754,18
3986,767,10
34511,150,28
29230,1121,4
29231,1121,10
29232,1121,43
33103,571,32
33105,571,2
33106,571,38
29233,1121,18
33107,571,65
13602,1075,32
33108,571,40
33109,571,55
34512,150,55
29310,239,64
34632,829,28
34634,829,65
34733,145,37
29906,136,2
29908,136,42
29910,136,28
29312,239,19
29313,239,20
29314,239,43
29385,247,32
29388,247,10
30079,192,32
30081,192,43
31092,644,32
29389,247,43
29390,247,27
3503,798,24
3504,798,13
29467,202,3
31094,644,39
31096,644,65
34734,145,43
34735,145,46
34737,145,28
31243,677,56
29468,202,4
3989,767,18
3990,767,19
29470,202,55
29471,202,59
3537,747,32
3542,747,18
3543,747,24
3544,747,30
3549,285,28
34825,246,2
34826,246,59
34827,246,55
3991,767,24
3992,767,30
34939,236,19
29619,89,46
29682,403,64
29684,403,3
31245,677,20
34940,236,38
34941,236,65
31392,1016,40
29686,403,65
29688,403,13
29689,403,43
29690,403,20
29691,403,55
31394,1016,50
31395,1016,19
3606,308,4
4036,142,10
3615,184,9
31499,995,64
31501,995,9
4131,796,32
4133,796,3
4134,796,12
4136,796,18
4137,796,19
3626,707,32
3628,707,4
3630,707,13
3632,707,24
3634,707,28
34413,487,28
33759,295,20
31700,713,28
33760,295,56
3645,243,28
29911,254,56
33761,295,58
29913,254,10
33870,1027,65
29994,1065,64
33871,1027,10
29995,1065,9
33872,1027,23
31017,621,65
9842,706,32
29996,1065,2
31018,621,2
31019,621,4
33873,1027,18
29997,1065,43
33874,1027,19
33875,1027,55
34414,487,65
34513,417,64
31021,621,55
31022,621,28
3872,56,19
30158,1045,28
34515,417,10
34516,417,43
31098,645,39
31099,645,40
3929,304,18
9845,706,3
34517,417,18
34518,417,19
4348,158,18
4349,158,3
34635,815,64
29069,392,35
33111,539,18
33112,539,19
29071,392,8
29072,392,18
29073,392,56
33113,539,58
33114,539,38
33201,766,38
31100,645,46
31102,645,19
30235,67,24
29074,392,27
34638,815,55
30237,67,2
30238,67,3
30239,67,18
34739,879,27
33202,766,40
31248,678,55
31249,678,65
33203,766,50
33204,766,18
34740,879,45
9848,706,10
9850,706,18
34741,879,46
31398,1029,23
31399,1029,65
5402,280,2
5403,280,21
31400,1029,55
34085,680,32
31454,1011,46
23216,969,32
23218,969,20
23219,969,28
31502,994,64
34087,680,65
30413,273,37
30414,273,8
30415,273,46
30417,273,27
29316,350,19
4138,796,27
29317,350,55
14287,78,10
31503,994,18
4157,759,32
4160,759,4
4163,759,24
31504,994,19
31505,994,50
31506,994,23
14288,78,19
31554,688,40
30488,238,24
31555,688,55
31556,688,27
31601,699,64
30490,238,2
30491,238,37
30492,238,65
31604,699,46
31606,699,18
31607,699,37
29622,1073,46
29693,257,18
29694,257,55
29695,257,42
29746,345,2
29747,345,59
29748,345,9
29749,345,55
13401,1059,10
13402,1059,18
32683,913,2
32684,913,42
14026,267,32
14027,267,10
14029,267,18
31702,715,65
31704,715,13
31705,715,55
31706,715,24
31707,715,28
32686,913,55
31103,647,12
31104,647,55
31183,662,28
32797,1141,38
32799,1141,46
31185,662,55
29076,204,3
29077,204,39
29078,204,65
29167,1137,3
29168,1137,4
29915,537,56
30001,505,18
30003,505,55
32881,705,56
30083,1055,9
32883,705,18
30084,1055,2
30085,1055,4
30087,1055,28
32885,705,30
34521,469,18
32985,696,40
32986,696,18
32987,696,56
32988,696,30
34523,469,65
33763,503,2
33764,503,45
33765,503,55
33205,766,56
14232,401,32
33206,766,27
34640,809,2
34641,809,65
34643,809,13
34644,809,55
34645,809,28
34744,921,4
34746,921,10
34088,680,39
14233,401,20
34089,680,19
34090,680,20
14234,401,13
34091,680,58
34192,1085,65
34193,1085,18
34747,921,46
34293,85,10
34294,85,18
34295,85,50
34296,85,56
30240,323,40
34748,921,56
34749,921,37
34831,249,10
34832,249,18
30242,323,18
34833,249,56
34942,431,56
31401,1014,24
31403,1014,50
34944,431,39
34946,431,65
31404,1014,28
30244,323,30
4987,269,3
4988,269,4
30315,84,32
30317,84,23
30318,84,64
30319,84,65
31456,1010,32
31458,1010,43
31459,1010,28
31507,993,32
31509,993,65
28840,100,2
28842,100,55
28904,218,32
31608,700,64
28906,218,2
28907,218,65
28908,218,20
28909,218,28
28963,208,2
28964,208,4
28965,208,9
28966,208,55
31610,700,2
31612,700,13
31613,700,28
30808,580,24
30810,580,2
30812,580,65
23722,1091,28
32687,914,9
30924,598,64
30926,598,2
34421,344,2
32688,914,2
34422,344,65
34423,344,9
32689,914,55
29079,475,64
